casa,horario_consumo,semanal,tipo_consumo
MAC000002,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000003,consumo_madrugada_variable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000004,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000005,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000006,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000007,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000008,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000009,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000010,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000011,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000012,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000013,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000014,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000015,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000016,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000017,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000018,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000019,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000020,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000021,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000022,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000023,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000024,consumo_noche_variable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000025,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000026,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000027,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000028,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000029,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000030,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000031,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000032,consumo_madrugada_variable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000033,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000034,consumo_madrugada_variable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000035,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000036,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000037,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media
MAC000038,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja
MAC000039,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
MAC000040,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja
