modelo,configuracion,n_clusters,ruido_pct,cluster_mayor_pct_sin_ruido,cluster_menor_pct_sin_ruido,Silhouette,Davies_Bouldin,Calinski_Harabasz,eps,min_samples
DBSCAN,"eps=0.5, min_samples=10",23,0.6686478454680534,14.771877337322364,0.1869857890800299,1.0,0.0,1.0,0.5,10
DBSCAN,"eps=1.0, min_samples=10",23,0.6686478454680534,14.771877337322364,0.1869857890800299,1.0,0.0,1.0,1.0,10
DBSCAN,"eps=0.5, min_samples=25",20,1.6530460624071324,14.919735599622285,0.4721435316336166,1.0,0.0,1.0,0.5,25
DBSCAN,"eps=1.0, min_samples=25",20,1.6530460624071324,14.919735599622285,0.4721435316336166,1.0,0.0,1.0,1.0,25
DBSCAN,"eps=0.5, min_samples=50",18,2.600297176820208,15.064836003051104,0.9534706331045004,1.0,0.0,1.0,0.5,50
DBSCAN,"eps=1.0, min_samples=50",18,2.600297176820208,15.064836003051104,0.9534706331045004,1.0,0.0,1.0,1.0,50
DBSCAN,"eps=0.5, min_samples=100",14,6.853640416047549,15.752741774675972,2.333000997008973,1.0,0.0,1.0,0.5,100
DBSCAN,"eps=1.0, min_samples=100",14,6.853640416047549,15.752741774675972,2.333000997008973,1.0,0.0,1.0,1.0,100
DBSCAN,"eps=2.05, min_samples=10",1,0.0,100.0,100.0,,,,2.05,10
DBSCAN,"eps=2.05, min_samples=25",1,0.0,100.0,100.0,,,,2.05,25
DBSCAN,"eps=2.05, min_samples=50",1,0.0,100.0,100.0,,,,2.05,50
DBSCAN,"eps=2.05, min_samples=100",1,0.0,100.0,100.0,,,,2.05,100
DBSCAN,"eps=2.45, min_samples=10",1,0.0,100.0,100.0,,,,2.45,10
DBSCAN,"eps=2.45, min_samples=25",1,0.0,100.0,100.0,,,,2.45,25
DBSCAN,"eps=2.45, min_samples=50",1,0.0,100.0,100.0,,,,2.45,50
DBSCAN,"eps=2.45, min_samples=100",1,0.0,100.0,100.0,,,,2.45,100
DBSCAN,"eps=1.42, min_samples=10",1,0.03714710252600297,100.0,100.0,,,,1.42,10
DBSCAN,"eps=1.42, min_samples=25",1,0.03714710252600297,100.0,100.0,,,,1.42,25
DBSCAN,"eps=1.42, min_samples=50",1,0.03714710252600297,100.0,100.0,,,,1.42,50
DBSCAN,"eps=1.42, min_samples=100",1,0.03714710252600297,100.0,100.0,,,,1.42,100
DBSCAN,"eps=1.75, min_samples=10",1,0.03714710252600297,100.0,100.0,,,,1.75,10
DBSCAN,"eps=1.75, min_samples=25",1,0.03714710252600297,100.0,100.0,,,,1.75,25
DBSCAN,"eps=1.75, min_samples=50",1,0.03714710252600297,100.0,100.0,,,,1.75,50
DBSCAN,"eps=1.75, min_samples=100",1,0.03714710252600297,100.0,100.0,,,,1.75,100
