modelo,configuracion,K,Inertia,n_clusters,ruido_pct,cluster_mayor_pct_sin_ruido,cluster_menor_pct_sin_ruido,Silhouette,Davies_Bouldin,Calinski_Harabasz,eps,min_samples
DBSCAN,"eps=0.5, min_samples=10",,,23,0.6686478454680534,14.771877337322364,0.1869857890800299,1.0,0.0,1.0,0.5,10.0
DBSCAN,"eps=1.0, min_samples=10",,,23,0.6686478454680534,14.771877337322364,0.1869857890800299,1.0,0.0,1.0,1.0,10.0
DBSCAN,"eps=0.5, min_samples=25",,,20,1.6530460624071324,14.919735599622285,0.4721435316336166,1.0,0.0,1.0,0.5,25.0
DBSCAN,"eps=1.0, min_samples=25",,,20,1.6530460624071324,14.919735599622285,0.4721435316336166,1.0,0.0,1.0,1.0,25.0
DBSCAN,"eps=0.5, min_samples=50",,,18,2.600297176820208,15.064836003051104,0.9534706331045004,1.0,0.0,1.0,0.5,50.0
KMeans,K=10,10.0,1603.8429634119525,10,0.0,15.13744427934621,5.776374442793462,0.7465801970237081,0.7412048141720053,3106.5450350092447,,
KMeans,K=9,9.0,1925.9459535642206,9,0.0,15.13744427934621,5.720653789004458,0.6964720144454384,0.7345216211118468,2798.5425873128106,,
KMeans,K=8,8.0,2279.228089226514,8,0.0,19.075037147102524,8.580980683506686,0.6403324479453665,0.7987152136039031,2584.0522624386645,,
KMeans,K=7,7.0,2736.0077747389696,7,0.0,19.075037147102524,9.769687964338782,0.573388279562712,0.9313933656025485,2362.266431954821,,
KMeans,K=6,6.0,3270.552269489726,6,0.0,24.702823179791977,9.769687964338782,0.5077617075742241,1.0276759262876398,2196.051597370806,,
