casa,cluster_consumo,horario_consumo,semanal,tipo_consumo,cluster_kmeans_final,cluster_dbscan_final
MAC000002,0,consumo_noche_variable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,1,0
MAC000003,2,consumo_madrugada_variable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,5,-1
MAC000004,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,5,1
MAC000005,1,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,2,2
MAC000006,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,5,1
MAC000007,0,consumo_tarde_estable,consumo_fin_semana_variable,picos_bajos_variabilidad_baja,6,3
MAC000008,2,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,4
MAC000009,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,5,5
MAC000010,2,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,2,6
MAC000011,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,3,7
MAC000012,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,8
MAC000013,1,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,2,2
MAC000014,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,5,1
MAC000015,0,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,4,9
MAC000016,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_moderados_variabilidad_media,5,1
MAC000017,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,3,7
MAC000018,0,consumo_noche_variable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,3,7
MAC000019,1,consumo_tarde_estable,consumo_fin_semana_estable,picos_bajos_variabilidad_baja,0,8
