LCLid,log_consumo_mediana,intensidad_pico_diario_clip,ratio_invierno_verano_clip,ratio_finde_semana_clip,share_madrugada,share_manana,share_tarde,share_noche,peak_to_avg_period_clip,periodo_pico_sin,periodo_pico_cos
MAC000002,2.5025828348009433,3.2545088308876986,1.4444547249002058,1.093184530353077,0.17046537772625986,0.19816382903228677,0.23631130899287348,0.3950594840825667,2.43898001689254,-0.8660254037844386,0.5000000000000001
MAC000003,2.65355881581302,2.6675680806376723,2.255930910118373,0.9814923692110679,0.5870137247403059,0.19822752594450585,0.10770639881801451,0.10705235042573985,4.4812437463884685,0.13052619222005157,0.9914448613738104
MAC000004,0.9702105738635856,4.347361648961905,1.206948867587718,1.0376708924315754,0.24153071754687586,0.25815110699468313,0.2504924988881424,0.24982567567403074,1.2381051420605642,0.6087614290087209,-0.793353340291235
MAC000005,1.7046571790150342,3.661861840969613,1.4916397047271357,1.0063203060920685,0.09222143215057586,0.2205547394762892,0.3064378231502935,0.38078600487684294,2.8039544417352342,-1.0,-1.8369701987210297e-16
MAC000006,1.355061658688792,2.3299263589834878,1.2185355790683843,0.9455790881794178,0.1297611319663205,0.31618107958115527,0.23879332716437318,0.31526446082450976,1.8510770001341899,0.7933533402912352,-0.6087614290087207
MAC000007,2.3218974138351482,4.420164642288965,1.278440354126704,1.186159231678055,0.09027682763871486,0.2769518042110874,0.276723704414129,0.3560476635318612,2.348575881528991,-0.9914448613738105,0.13052619222005127
MAC000008,2.9226237990437345,2.2530074548403594,1.393269389670814,0.9837242132683397,0.1667546306948074,0.24820225478022595,0.28936579800639123,0.2956773164117797,1.3185967468550248,-0.9914448613738105,0.13052619222005127
MAC000009,2.257064588157961,1.8128511878903357,1.330780653031,1.0296539490336878,0.10179590265457529,0.29066512069325073,0.3284071310166429,0.2791318454132328,2.6429898756946324,-0.13052619222005177,-0.9914448613738104
MAC000010,3.28327683655178,2.4422323500410967,1.3414509298763788,1.0584696936996694,0.10668379499944063,0.22572599553506445,0.30276481353115764,0.3648253958615581,2.0654783944930837,-0.9914448613738105,0.13052619222005127
MAC000011,2.7359247378681903,1.8841310876734292,1.4270502012858919,1.035207934358905,0.14747895014251186,0.20984197193672224,0.2763123908551255,0.36636668693006025,1.7546192099872746,-1.0,-1.8369701987210297e-16
MAC000012,0.7857263618530387,7.10600800116265,0.9371126398381247,0.9424803215108283,0.15951063203581542,0.25198990198197135,0.27232947337540736,0.3161699916783549,1.5422479205500335,-1.0,-1.8369701987210297e-16
MAC000013,1.8333811439188745,1.799737385881077,1.189500647670699,0.9973539449151891,0.19500149932272404,0.20814005624059326,0.24534703824793233,0.3515114058792802,1.5871220097686636,-0.8660254037844386,0.5000000000000001
MAC000014,1.9776856327254486,2.435051212769553,1.4417867796425772,1.0300893061243217,0.1134327138657172,0.4199188628448765,0.2407784001592396,0.22587002280593077,2.799542223894215,0.7933533402912352,-0.6087614290087207
MAC000015,2.365184234750566,3.215143070288501,1.4612368935374611,0.9356272804877068,0.13291783041243715,0.23917102812290642,0.29927738312691415,0.3286337582238205,1.497449870727548,-0.7071067811865477,0.7071067811865474
MAC000016,0.4971322966339884,5.634556599331704,5.376570817386024,1.0072655742731769,0.12003633558603494,0.26212669992022947,0.31381665432766187,0.3040203082814361,1.8512493483160382,0.258819045102521,-0.9659258262890682
MAC000017,1.9448381460939776,5.114529931779941,1.2474319108827916,1.0473994277709306,0.1230089340621681,0.22492435661833166,0.2857397851048596,0.36632692402125344,1.812939983184136,-0.9914448613738105,0.13052619222005127
MAC000018,2.403967707282648,3.170322686526813,1.1755828476881993,1.0162112095559537,0.23018602027466176,0.19735188030607576,0.24250041239656941,0.32996168690812033,1.416585631615111,-0.5000000000000004,0.8660254037844384
MAC000019,2.0489823341951277,2.1314008288849022,1.319952695854843,1.05352175046271,0.12991278465548903,0.262878144642273,0.3508429941851983,0.2563660763192187,2.232808540517097,-0.9914448613738104,-0.13052619222005163
MAC000020,1.9936112850746428,2.4931465069740937,1.4542698857721308,1.0414345528770195,0.11207353159709625,0.2530973959828407,0.2905009927749767,0.34432807945706057,2.2055355701562274,-1.0,-1.8369701987210297e-16
