LCLid,consumo_total,consumo_medio,consumo_std,consumo_max,consumo_min,consumo_mediana,dias_registrados,dias_consumo_cero,energy_count_promedio,consumo_invierno,consumo_otono,consumo_primavera,consumo_verano,consumo_finde,consumo_semana,stdorToU,Acorn,Acorn_grouped,ratio_invierno_verano,ratio_finde_semana,coef_variacion_diario,intensidad_pico_diario,pct_dias_consumo_cero,ratio_invierno_verano_clip,ratio_finde_semana_clip,coef_variacion_diario_clip,intensidad_pico_diario_clip
MAC000002,6095.6720007,12.070637625148516,4.494518088381602,39.28399999999999,0.186,11.214000000000002,505,0,47.801980198019805,13.203777782222222,12.282645387234043,12.458326092391305,9.141010867391305,12.853888890277778,11.758204987534628,Std,ACORN-A,Affluent,1.4444547249002058,1.093184530353077,0.37235130865549393,3.2545088308876986,0.0,1.4444547249002058,1.093184530353077,0.37235130865549393,3.2545088308876986
MAC000003,14080.8620026,19.028191895405406,11.60612349685102,50.75899999999999,0.07,13.2045,740,0,47.8972972972973,27.588173691578948,17.239653853846153,18.757195651086956,12.229173913043478,18.77463332952381,19.128658496981135,Std,ACORN-P,Adversity,2.255930910118373,0.9814923692110679,0.6099435485359969,2.6675680806376723,0.0,2.255930910118373,0.9814923692110679,0.6099435485359969,2.6675680806376723
MAC000004,1119.8390001,1.6915996980362538,0.4313768120144512,7.353999999999997,0.0,1.6385,662,1,47.81570996978852,1.837633333888889,1.7252307692307691,1.6803879310344827,1.5225434782608693,1.7367446808510638,1.6736940930379747,Std,ACORN-E,Affluent,1.206948867587718,1.0376708924315754,0.2550110156109702,4.347361648961905,0.0015105740158450544,1.206948867587718,1.0376708924315754,0.2550110156109702,4.347361648961905
MAC000005,2911.0060003,4.5627053296238245,1.4705110408907391,16.708000200000004,0.032,4.499499999999999,638,0,47.81347962382445,5.537316666111111,4.499615385714286,4.481608696739131,3.712233696195652,4.58328022032967,4.554493421491228,ToU,ACORN-C,Affluent,1.4916397047271357,1.0063203060920685,0.32228921492126283,3.661861840969613,0.0,1.4916397047271357,1.0063203060920685,0.32228921492126283,3.661861840969613
MAC000006,2167.448,2.8481576872536136,0.8821714589561093,6.636000000000003,0.001,2.877,761,0,47.877792378449406,3.0004265402843604,2.973857142857143,2.9350489130434783,2.462320652173913,2.7354120370370367,2.892842201834862,Std,ACORN-Q,Adversity,1.2185355790683843,0.9455790881794178,0.30973395650463503,2.3299263589834878,0.0,1.2185355790683843,0.9455790881794178,0.30973395650463503,2.3299263589834878
MAC000007,4952.6959994,9.469782025621415,3.8752604324240534,41.85800009999999,0.06,9.1950001,523,0,47.8546845124283,10.507961111666667,8.44008805283019,10.468565211956522,8.219358689130434,10.670547294594595,8.995879999466668,Std,ACORN-H,Comfortable,1.278440354126704,1.186159231678055,0.4092237828405531,4.420164642288965,0.0,1.278440354126704,1.186159231678055,0.4092237828405531,4.420164642288965
MAC000008,9440.6500001,17.35413602959559,4.969148030416581,39.0990001,0.287,17.58999995,544,0,47.783088235294116,21.659055552222224,15.799291390728479,18.867831929411764,15.54548913478261,17.15173718076923,17.435512886340206,Std,ACORN-H,Comfortable,1.393269389670814,0.9837242132683397,0.28633795053837824,2.2530074548403594,0.0,1.393269389670814,0.9837242132683397,0.28633795053837824,2.2530074548403594
MAC000009,4513.734000500001,8.564960152751425,1.760566310330831,15.527,0.05,8.555000099999999,527,0,47.85578747628084,9.53329444388889,8.75820245828221,7.729293477173912,7.163684782608695,8.745133332,8.493273211405837,Std,ACORN-L,Adversity,1.330780653031,1.0296539490336878,0.20555450035698802,1.8128511878903357,0.0,1.330780653031,1.0296539490336878,0.20555450035698802,1.8128511878903357
MAC000010,13780.230997,26.34843402868069,5.931719772544372,64.3490004,0.276,25.663,523,0,47.860420650095605,30.291027763333336,24.81630817610063,25.05021737717391,22.58079348804348,27.435081076351352,25.919570660533335,Std,ACORN-H,Comfortable,1.3414509298763788,1.0584696936996694,0.22512607546093727,2.4422323500410967,0.0,1.3414509298763788,1.0584696936996694,0.22512607546093727,2.4422323500410967
MAC000011,7446.0260006,15.04247676888889,4.432020265635416,28.342,0.112,14.424000000000008,495,0,47.85454545454545,16.522311106666667,14.390656498473282,16.539815214130435,11.57794565652174,15.418557143571427,14.894163381690142,Std,ACORN-N,Adversity,1.4270502012858919,1.035207934358905,0.29463365901073807,1.8841310876734292,0.0,1.4270502012858919,1.035207934358905,0.29463365901073807,1.8841310876734292
MAC000012,1086.3829998,2.109481553009709,2.1527245758059466,14.989999900000004,0.0,1.1940000000000004,515,1,47.86796116504854,1.2393833333333337,3.4954768205298015,2.3239347815217393,1.3225543478260873,2.0211027397260275,2.14444986395664,Std,ACORN-E,Affluent,0.9371126398381247,0.9424803215108283,1.0204988767195737,7.10600800116265,0.0019417475690451504,0.9371126398381247,0.9424803215108283,1.0204988767195737,7.10600800116265
MAC000013,3257.6780000000003,5.27132362459547,1.25804632133999,9.487000000000002,0.083,5.255000000000001,618,0,47.885113268608414,5.804394444444445,5.080368131868132,5.304250000000001,4.879689024390244,5.26134090909091,5.275298642533937,Std,ACORN-K,Adversity,1.189500647670699,0.9973539449151891,0.23865847978135749,1.799737385881077,0.0,1.189500647670699,0.9973539449151891,0.23865847978135749,1.799737385881077
MAC000014,3132.1249991,6.23929282689243,1.5977177384324235,15.193,0.039,6.226000000000001,502,0,47.844621513944226,7.020938882777778,6.599565216666667,5.53926087173913,4.869608696739131,6.372788728169014,6.186636110277777,ToU,ACORN-L,Adversity,1.4417867796425772,1.0300893061243217,0.2560734888852301,2.435051212769553,0.0,1.4417867796425772,1.0300893061243217,0.2560734888852301,2.435051212769553
MAC000015,8953.7729998,10.972761029166666,4.6985454380928235,35.278999799999994,0.097,9.646,816,0,47.868872549019606,13.106248118421053,10.677362640659341,10.184146736956523,8.96928260923913,10.457814653448276,11.177328767465754,ToU,ACORN-E,Affluent,1.4612368935374611,0.9356272804877068,0.4282007962629313,3.215143070288501,0.0,1.4612368935374611,0.9356272804877068,0.4282007962629313,3.215143070288501
MAC000016,533.7360000000001,1.3081764705882355,1.857685852220007,7.370999999999999,0.027,0.6440000000000003,408,0,47.818627450980394,3.063676691729323,0.20862637362637365,0.8052608695652177,0.3608478260869566,1.3149655172413792,1.3054794520547948,Std,ACORN-K,Adversity,8.490194425604269,1.0072655742731769,1.4200564479868925,5.634556599331704,0.0,5.376570817386024,1.0072655742731769,1.1591789297740154,5.634556599331704
MAC000017,5199.4260006,6.371845588970589,2.356440202690976,32.5890001,0.336,5.9925,816,0,47.89950980392157,7.242218046992481,6.300000001648352,5.750798913043478,5.805701085869566,6.585125001293104,6.28711815119863,ToU,ACORN-C,Affluent,1.2474319108827916,1.0473994277709306,0.3698206116214222,5.114529931779941,0.0,1.2474319108827916,1.0473994277709306,0.3698206116214222,5.114529931779941
MAC000018,8739.1489997,10.72288220822086,3.642515411309804,33.9949999,0.38,10.066999999999998,815,0,47.91901840490797,11.526603773962265,11.42742856923077,9.786331522826087,9.805010868478261,10.846659478448275,10.673626073241852,Std,ACORN-E,Affluent,1.1755828476881993,1.0162112095559537,0.3396955222376399,3.170322686526813,0.0,1.1755828476881993,1.0162112095559537,0.3396955222376399,3.170322686526813
MAC000019,5059.6200005,6.2081227,2.1837976837364743,13.232000000000005,0.168,6.760000000000002,815,0,47.905521472392635,7.334347169811321,5.534296703846154,5.9042173929347825,5.556521739673913,6.442241381034483,6.114957118524872,Std,ACORN-K,Adversity,1.319952695854843,1.05352175046271,0.35176452488156357,2.1314008288849022,0.0,1.319952695854843,1.05352175046271,0.35176452488156357,2.1314008288849022
MAC000020,5342.4630004,6.555169325644171,2.287135987931123,16.343,0.06,6.342000000000001,815,0,47.915337423312884,8.037245281509435,6.661010989560441,5.344483698369565,5.526652175000001,6.747198277155173,6.478753001886792,Std,ACORN-J,Comfortable,1.4542698857721308,1.0414345528770195,0.34890565375299654,2.4931465069740937,0.0,1.4542698857721308,1.0414345528770195,0.34890565375299654,2.4931465069740937
MAC000021,18311.9230008,22.468617178895705,5.884856328823018,46.180999799999995,0.737,21.853,815,0,47.915337423312884,24.464950941132077,23.507736263736266,23.366331526630436,17.66792391576087,19.652594824568965,23.589229848198972,Std,ACORN-E,Affluent,1.384709922516585,0.8331172368881807,0.2619144747561974,2.0553555822750518,0.0,1.384709922516585,0.8331172368881807,0.2619144747561974,2.0553555822750518
MAC000022,10206.5789994,12.523409815214725,6.863454419018417,27.207000000000004,0.287,10.453,815,0,47.90674846625767,19.230105660377358,10.63675823956044,11.759445651086958,5.49441847826087,12.530607758189657,12.520545453687822,Std,ACORN-Q,Adversity,3.4999340215036145,1.0008035834968587,0.548049929870542,2.1724912167654957,0.0,3.4999340215036145,1.0008035834968587,0.548049929870542,2.1724912167654957
MAC000023,11663.5899996,14.311153373742332,5.8265346798680095,27.73900009999999,0.16,15.212999999999996,815,0,47.90306748466258,16.126313210566035,14.906219783516486,15.653021730434784,9.766461955434783,13.810426724568966,14.510413378216123,Std,ACORN-U,ACORN-U,1.6511927894624494,0.9517596372231782,0.40713240369752124,1.9382783090436548,0.0,1.6511927894624494,0.9517596372231782,0.40713240369752124,1.9382783090436548
MAC000024,16922.3649942,20.763638029693254,12.96645686877583,70.52699979999998,0.265,18.8860003,815,0,47.85153374233129,32.58686413735849,17.01419780934066,19.98171193097826,8.226233702173912,19.844306028448276,21.129478551629504,Std,ACORN-E,Affluent,3.961334111795631,0.9391762811743218,0.6244790159486502,3.396658923762936,0.0,3.961334111795631,0.9391762811743218,0.6244790159486502,3.396658923762936
