LCLid,consumo_total,consumo_medio,consumo_std,consumo_max,consumo_invierno,consumo_verano,consumo_finde,consumo_semana,ratio_invierno_verano,dias_registrados,stdorToU,Acorn_grouped,tarifa_enc,acorn_enc,ratio_invierno_verano_clip,cluster_kmeans_pca,PCA_1,PCA_2,cluster_dbscan_review,ratio_finde_semana,coef_variacion,intensidad_pico,peso_invierno,peso_verano,delta_invierno_verano,delta_finde_semana,consumo_estacionalidad,consumo_regularidad,consumo_total_log,consumo_medio_log,consumo_std_log,consumo_max_log,consumo_invierno_log,consumo_verano_log,consumo_finde_log,consumo_semana_log,ratio_finde_semana_clip,coef_variacion_clip,intensidad_pico_clip,peso_invierno_clip,peso_verano_clip,consumo_estacionalidad_clip,consumo_regularidad_clip,cluster_candidato,PCA_1_candidato,PCA_2_candidato
MAC000002,6022.602000700001,12.093578314658636,4.517377692680869,39.28399999999999,13.203777782222222,9.141010867391303,12.86373239577465,11.786382023876405,1.4444547249002058,498,Std,Affluent,0,3,1.4444547249002058,0,0.5983104456523374,-0.07300847026016057,0,1.0914062753361902,0.37353521030827924,3.2483352511182386,1.0918006521210735,0.7558565276296223,4.0627669148309185,1.0773503718982447,0.3359441244914511,2.677116628598605,8.703440698356179,2.5721219050294706,1.7079026917405524,3.695954367785898,2.653507970226148,2.3165876842584443,2.62927625013344,2.548380700192917,1.0914062753361902,0.37353521030827924,3.2483352511182386,1.0918006521210735,0.7558565276296223,0.3359441244914511,2.677116628598605,1,1.455029826973127,-0.2843211938113531
MAC000003,13949.9560029,19.031317875716237,11.641835814872667,50.75899999999999,27.928125692349727,12.229173913043478,18.79166345769231,19.126266673714287,2.2837293514022727,733,Std,Adversity,0,2,2.2837293514022727,1,3.8640928308446556,0.9534554608003374,0,0.9825055143151722,0.611719865076063,2.6671299205000416,1.4674824101647375,0.6425815253743541,15.698951779306249,-0.3346032160219785,0.8249008847903834,1.6347325342182946,9.543303315575228,2.997296942606497,2.537011616691026,3.9465983300678364,3.3648143292068853,2.582424535742268,2.985260811549031,3.0020257616327535,0.9825055143151722,0.611719865076063,2.6671299205000416,1.4674824101647375,0.6425815253743541,0.8249008847903834,1.6347325342182946,2,4.906589256533058,1.4813501295671998
MAC000004,1109.9650001,1.6946030535877863,0.4316707131984879,7.353999999999997,1.8376333338888888,1.5225434782608698,1.738516129032258,1.6771876334754796,1.2069488675877174,655,Std,Affluent,0,3,1.2069488675877174,0,-3.0819253282149877,0.2727017812730851,0,1.0365656517893846,0.2547324918080788,4.3396567973682325,1.0844027724342353,0.8984656179933992,0.31508985562801906,0.06132849555677833,0.18593715444083608,3.9256714651146845,7.012984286083092,0.9912509035638574,0.3588420932124181,2.1227404660749833,1.0429703716203185,0.925267709275825,1.007416214956724,0.9847668530328297,1.0365656517893846,0.2547324918080788,4.3396567973682325,1.0844027724342353,0.8984656179933992,0.18593715444083608,3.9256714651146845,0,-5.642208779253215,1.837340631994287
MAC000005,2878.6180003,4.56199366133122,1.4733691586321227,16.708000200000004,5.537316666111111,3.676062147457628,4.577333333888888,4.555871397339246,1.5063170691016907,631,ToU,Affluent,1,3,1.5063170691016907,0,-1.9686890539381903,0.42904489931536827,0,1.0047106096654894,0.3229659979922431,3.6624330891094243,1.213792886047632,0.8058015013952096,1.861254518653483,0.02146193654964268,0.4079913846524223,3.096291590833122,7.965412925547968,1.715956616172724,0.9055812530284303,2.874016526164225,1.8775267855731304,1.542456334252388,1.7187107650114517,1.7148552779970043,1.0047106096654894,0.3229659979922431,3.6624330891094243,1.213792886047632,0.8058015013952096,0.4079913846524223,3.096291590833122,0,-1.9650905928905964,1.4281793937749998
MAC000006,2143.429,2.842744031830239,0.8829450460326531,6.636000000000003,2.985642156862746,2.462320652173913,2.7272897196261687,2.888498148148148,1.2125313336812873,754,Std,Adversity,0,2,1.2125313336812873,0,-2.717215253452088,0.19234710941547395,0,0.9441892068324366,0.31059593320762513,2.3343634148320223,1.0502673027065341,0.866177101570239,0.5233215046888327,-0.16120842852197947,0.1840902011362952,3.21960680574888,7.670628595458283,1.3461867030230683,0.6328370649860838,2.0328739058635015,1.3826984427637845,1.2419390729658453,1.3156813528196394,1.3580230029146476,0.9441892068324366,0.31059593320762513,2.3343634148320223,1.0502673027065341,0.866177101570239,0.1840902011362952,3.21960680574888,0,-4.258244596117937,0.8011707664574341
MAC000007,4905.2049995,9.506211239341084,3.86574616061464,41.85800009999999,10.507961111666663,8.219358689130438,10.774465750684934,9.005764864594594,1.278440354126703,516,Std,Comfortable,0,4,1.278440354126703,0,-0.06177530875930531,-0.09410270463407551,0,1.1963963879012038,0.406654728853665,4.403225916498299,1.1053783407212268,0.8646302525326488,2.2886024225362256,1.7687008860903397,0.24074808818857787,2.459082533569446,8.498256009412222,2.351966628872667,1.5822200770768111,3.7578923277341767,2.443039066440167,2.2213054786558923,2.465933267381439,2.303161413349021,1.1963963879012038,0.406654728853665,4.403225916498299,1.1053783407212268,0.8646302525326488,0.24074808818857787,2.459082533569446,3,0.5722440365682312,-0.04682382468607567
MAC000008,9307.8070005,17.3329739301676,4.97843656510937,39.0990001,21.659055552222224,15.545489134782606,17.155733768181815,17.40424020939948,1.3932693896708142,537,Std,Comfortable,0,4,1.3932693896708142,1,2.3039929527205167,-0.8367042875297978,0,0.9857214435132367,0.28722343309021514,2.2557581867812653,1.2495867350806116,0.8968736871433465,6.113566417439618,-0.24850644121766408,0.352713047937265,3.4815979589240142,9.138716220330936,2.908701292563164,1.788159089818466,3.6913513988395423,3.1205595756589877,2.8061135048400234,2.898986420914435,2.9125810842293167,0.9857214435132367,0.28722343309021514,2.2557581867812653,1.2495867350806116,0.8968736871433465,0.352713047937265,3.4815979589240142,1,2.716321545975096,-1.4211991972400937
MAC000009,4459.5740005,8.576103847115384,1.7652275021979458,15.527,9.53329444388889,7.163684782608697,8.759344593243243,8.503201614784945,1.3307806530309996,520,Std,Adversity,0,2,1.3307806530309996,0,-0.9232048372044337,-0.24621767172557116,0,1.0301230007165691,0.20583091434472015,1.8104955894076535,1.1116112283883122,0.8353075096811857,2.369609661280193,0.25614297845829803,0.2763037187071265,4.8583330878671935,8.403032736396696,2.259270812716021,1.017122910865474,2.8049954071586893,2.3545411398820764,2.099695633546712,2.2782252458385472,2.251628753913305,1.0301230007165691,0.20583091434472015,1.8104955894076535,1.1116112283883122,0.8353075096811857,0.2763037187071265,4.8583330878671935,3,-0.5829764681215865,-0.8444787012959463
MAC000010,13609.9929968,26.375955420155037,5.93710655179354,64.3490004,30.291027763333336,22.580793488043483,27.420945200684933,25.963608101351348,1.3414509298763786,516,Std,Comfortable,0,4,1.3414509298763786,1,5.184447940715466,-1.6797708439122427,0,1.056129950718513,0.22509540345072504,2.4396840582746817,1.1484333413664052,0.8561127842472661,7.710234275289853,1.4573370993335857,0.292320557119139,4.4425409943029415,9.518633053806925,3.3096650887205104,1.93688476420931,4.17974214385531,3.443331403524656,3.1604325454354756,3.347126380408835,3.2944881087419478,1.056129950718513,0.22509540345072504,2.4396840582746817,1.1484333413664052,0.8561127842472661,0.292320557119139,4.4425409943029415,1,4.143604105378803,-2.457649479016517
MAC000011,7294.6809999,14.94811680307377,4.3792906944609005,28.342,16.522311106666667,11.577945656521738,15.30510869347826,14.80736000057143,1.427050201285892,488,Std,Adversity,0,2,1.427050201285892,0,1.1916273897267116,-0.5064428607626255,0,1.0336148820095372,0.29296602770687225,1.8960246616582093,1.1053104694739024,0.7745420399443852,4.944365450144929,0.4977486929068302,0.3307684295295173,3.413353399620618,8.89503780819688,2.769340753487383,1.6825565243036096,3.379019936717452,2.863474989289533,2.531944935593751,2.7914784754857456,2.760475654392129,1.0336148820095372,0.29296602770687225,1.8960246616582093,1.1053104694739024,0.7745420399443852,0.3307684295295173,3.413353399620618,1,1.87110593701304,-1.2071727030380144
