LCLid,consumo_total,consumo_medio,consumo_std,consumo_max,consumo_min,dias_registrados,tarifa,acorn,Acorn_grouped,consumo_invierno,consumo_otono,consumo_primavera,consumo_verano,consumo_finde,consumo_semana
MAC000002,6095.6720007,12.070637625148516,4.494518088381602,39.28399999999999,0.186,505,Std,ACORN-A,Affluent,13.203777782222222,12.282645387234043,12.458326092391305,9.141010867391305,12.853888890277778,11.758204987534628
MAC000003,14080.8620026,19.028191895405406,11.60612349685102,50.75899999999999,0.07,740,Std,ACORN-P,Adversity,27.588173691578948,17.239653853846153,18.757195651086956,12.229173913043478,18.77463332952381,19.128658496981135
MAC000004,1119.8390001,1.6915996980362538,0.4313768120144512,7.353999999999997,0.0,662,Std,ACORN-E,Affluent,1.837633333888889,1.7252307692307691,1.6803879310344827,1.5225434782608693,1.7367446808510638,1.6736940930379747
MAC000005,2911.0060003,4.5627053296238245,1.4705110408907391,16.708000200000004,0.032,638,ToU,ACORN-C,Affluent,5.537316666111111,4.499615385714286,4.481608696739131,3.712233696195652,4.58328022032967,4.554493421491228
MAC000006,2167.448,2.8481576872536136,0.8821714589561093,6.636000000000003,0.001,761,Std,ACORN-Q,Adversity,3.0004265402843604,2.973857142857143,2.9350489130434783,2.462320652173913,2.7354120370370367,2.892842201834862
MAC000007,4952.6959994,9.469782025621415,3.8752604324240534,41.85800009999999,0.06,523,Std,ACORN-H,Comfortable,10.507961111666667,8.44008805283019,10.468565211956522,8.219358689130434,10.670547294594595,8.995879999466668
MAC000008,9440.6500001,17.35413602959559,4.969148030416581,39.0990001,0.287,544,Std,ACORN-H,Comfortable,21.659055552222224,15.799291390728479,18.867831929411764,15.54548913478261,17.15173718076923,17.435512886340206
MAC000009,4513.734000500001,8.564960152751425,1.760566310330831,15.527,0.05,527,Std,ACORN-L,Adversity,9.53329444388889,8.75820245828221,7.729293477173912,7.163684782608695,8.745133332,8.493273211405837
MAC000010,13780.230997,26.34843402868069,5.931719772544372,64.3490004,0.276,523,Std,ACORN-H,Comfortable,30.291027763333336,24.81630817610063,25.05021737717391,22.58079348804348,27.435081076351352,25.919570660533335
MAC000011,7446.0260006,15.04247676888889,4.432020265635416,28.342,0.112,495,Std,ACORN-N,Adversity,16.522311106666667,14.390656498473282,16.539815214130435,11.57794565652174,15.418557143571427,14.894163381690142
MAC000012,1086.3829998,2.109481553009709,2.1527245758059466,14.989999900000004,0.0,515,Std,ACORN-E,Affluent,1.2393833333333337,3.4954768205298015,2.3239347815217393,1.3225543478260873,2.0211027397260275,2.14444986395664
MAC000013,3257.6780000000003,5.27132362459547,1.25804632133999,9.487000000000002,0.083,618,Std,ACORN-K,Adversity,5.804394444444445,5.080368131868132,5.304250000000001,4.879689024390244,5.26134090909091,5.275298642533937
MAC000014,3132.1249991,6.23929282689243,1.5977177384324235,15.193,0.039,502,ToU,ACORN-L,Adversity,7.020938882777778,6.599565216666667,5.53926087173913,4.869608696739131,6.372788728169014,6.186636110277777
