Feature_Set,Modelo,Configuracion,K,Silhouette,Davies_Bouldin,Calinski_Harabasz,Clusters,Ruido_%,Cluster_Mayor_%,Cluster_Menor_%,Ratio_Desbalance,BIC,AIC
Actuales,KMeans + PCA,K=2,2,0.5496806100206083,0.8807833129892298,4276.931709668556,2,0.0,83.1135054802155,16.886494519784506,4.921892189218922,,
Actuales,KMeans + PCA,K=3,3,0.4108411830392887,0.9570462735107935,3956.2088367015685,3,0.0,63.756269738064276,4.681404421326398,13.619047619047619,,
Actuales,KMeans + PCA,K=4,4,0.3523216016309656,1.0209923947460922,3489.5982964994137,4,0.0,54.765000928850085,1.356121122050901,40.38356164383562,,
Actuales,KMeans + PCA,K=5,5,0.3668076292145266,0.9698796907036865,3241.8824816679135,5,0.0,54.70926992383429,1.1517741036596691,47.5,,
Actuales,KMeans + PCA,K=6,6,0.33702814958582133,0.9861956656004155,3130.747893925652,6,0.0,45.51365409622887,1.1889281070035296,38.28125,,
Actuales,KMeans + PCA,K=7,7,0.32456712719557446,0.9544329502601633,3145.5816061707756,7,0.0,36.5966932937024,0.7988110718929966,45.81395348837209,,
Actuales,KMeans + PCA,K=8,8,0.3029429932739011,0.9908782254721153,2998.400433349972,8,0.0,32.32398290915846,0.4458480401263236,72.5,,
Actuales,KMeans + PCA,K=9,9,0.2943721086733624,1.0346446335216202,2892.431191535289,9,0.0,32.584060932565485,0.3901170351105332,83.52380952380952,,
Actuales,KMeans + PCA,K=10,10,0.288229716929538,1.0228538979002262,2838.8850303016216,10,0.0,27.122422441018017,0.4458480401263236,60.833333333333336,,
Actuales,GMM + PCA,K=2,2,0.48652940305335857,1.1713268708779982,2645.1479689898747,2,0.0,81.72023035482073,18.279769645179268,4.470528455284553,50001.932841671565,49876.70382041891
Actuales,GMM + PCA,K=3,3,0.3133843659094823,1.3721025184175588,2326.730390216417,3,0.0,64.90804384172395,8.879806799182612,7.309623430962343,49129.4979300525,48938.358897614235
Actuales,GMM + PCA,K=4,4,0.2254362246790735,1.574434687059,1860.6270317412996,4,0.0,42.021177781906,5.294445476500092,7.936842105263158,48769.79205934661,48512.743015722735
Actuales,GMM + PCA,K=5,5,0.20539138442715318,1.5586870590610058,1985.6244136173216,5,0.0,38.80735649266208,1.1889281070035296,32.640625,48699.77513058191,48376.816075772425
Actuales,GMM + PCA,K=6,6,0.2111337703042734,1.3670340944888568,1508.32712513322,6,0.0,38.99312650938139,2.377856214007059,16.3984375,48237.88874225595,47849.019676260854
Actuales,GMM + PCA,K=7,7,0.20337507660895227,1.4487318772598266,1755.1746683147967,7,0.0,32.73267694594092,1.4490061304105517,22.58974358974359,48222.77546042836,47767.99638324766
Actuales,GMM + PCA,K=8,8,0.19484629791908165,1.556562946799356,1415.1261774948932,8,0.0,31.265093813858442,0.5201560468140443,60.107142857142854,48252.212551357654,47731.52346299134
