casa,cluster_consumo
MAC000002,0
MAC000003,2
MAC000004,1
MAC000005,1
MAC000006,1
MAC000007,0
MAC000008,2
MAC000009,0
MAC000010,2
MAC000011,0
MAC000012,1
MAC000013,1
MAC000014,1
MAC000015,0
MAC000016,1
MAC000017,0
MAC000018,0
MAC000019,1
MAC000020,0
MAC000021,2
MAC000022,2
MAC000023,0
MAC000024,2
MAC000025,1
MAC000026,0
MAC000027,0
MAC000028,1
MAC000029,1
MAC000030,0
MAC000031,2
MAC000032,2
MAC000033,0
MAC000034,2
MAC000035,2
MAC000036,1
MAC000037,1
MAC000038,0
MAC000039,0
MAC000040,2
MAC000041,0
MAC000042,0
MAC000043,1
MAC000044,0
MAC000045,2
MAC000046,0
MAC000047,1
MAC000048,0
MAC000049,2
MAC000050,2
MAC000051,2
MAC000052,0
MAC000053,0
MAC000054,0
MAC000055,0
MAC000056,1
MAC000057,0
MAC000058,1
MAC000059,0
MAC000060,0
MAC000061,1
MAC000062,0
MAC000063,0
MAC000064,0
MAC000065,0
MAC000066,0
MAC000067,0
MAC000068,2
MAC000069,0
MAC000070,1
MAC000071,2
MAC000072,1
MAC000073,1
MAC000074,0
MAC000075,1
MAC000076,2
MAC000077,1
MAC000078,1
MAC000079,2
MAC000080,1
MAC000081,0
MAC000082,1
MAC000083,2
MAC000084,0
MAC000085,2
MAC000086,1
MAC000087,2
MAC000088,0
MAC000089,0
MAC000090,2
MAC000091,1
MAC000092,1
MAC000093,0
MAC000094,0
MAC000095,0
MAC000096,2
MAC000097,2
MAC000098,0
MAC000099,1
MAC000100,0
MAC000101,0
MAC000102,1
MAC000103,2
MAC000104,0
MAC000105,2
MAC000106,0
MAC000107,1
MAC000108,1
MAC000109,1
MAC000110,2
MAC000111,0
MAC000112,0
MAC000113,2
MAC000114,1
MAC000115,0
MAC000116,2
MAC000117,0
MAC000118,0
MAC000119,0
MAC000120,1
MAC000121,0
MAC000122,1
MAC000123,0
MAC000124,0
MAC000125,0
MAC000126,1
MAC000127,0
MAC000128,1
MAC000129,0
MAC000130,1
MAC000131,0
MAC000132,0
MAC000133,2
MAC000134,2
MAC000135,1
MAC000136,2
MAC000137,0
MAC000138,0
MAC000139,2
MAC000140,1
MAC000141,1
MAC000142,2
MAC000143,0
MAC000144,1
MAC000145,0
MAC000146,1
MAC000147,0
MAC000148,1
MAC000149,1
MAC000150,0
MAC000151,1
MAC000152,0
MAC000153,2
MAC000154,0
MAC000155,0
MAC000156,0
MAC000157,0
MAC000158,1
MAC000159,0
MAC000160,0
MAC000161,0
MAC000162,1
MAC000163,0
MAC000164,2
MAC000165,0
MAC000166,0
MAC000167,0
MAC000168,1
MAC000169,0
MAC000170,0
MAC000171,1
MAC000172,1
MAC000173,1
MAC000174,2
MAC000175,0
MAC000176,0
MAC000177,1
MAC000178,0
MAC000179,0
MAC000180,0
MAC000181,0
MAC000182,1
MAC000183,0
MAC000184,0
MAC000185,1
MAC000186,1
MAC000187,0
MAC000188,1
MAC000189,2
MAC000190,0
MAC000191,2
MAC000192,0
MAC000193,0
MAC000194,0
MAC000195,2
MAC000196,1
MAC000197,1
MAC000198,2
MAC000199,1
MAC000200,1
MAC000201,0
MAC000202,2
MAC000203,1
MAC000204,1
MAC000205,0
MAC000206,0
MAC000207,0
MAC000208,0
MAC000209,1
MAC000210,1
MAC000211,0
MAC000212,1
MAC000213,0
MAC000214,0
MAC000215,1
MAC000216,2
MAC000217,1
MAC000218,0
MAC000219,1
MAC000220,1
MAC000221,2
MAC000222,2
MAC000223,0
MAC000224,2
MAC000225,0
MAC000226,0
MAC000227,0
MAC000228,0
MAC000229,0
MAC000230,0
MAC000231,1
MAC000232,1
MAC000233,1
MAC000234,0
MAC000235,2
MAC000236,1
MAC000237,2
MAC000238,0
MAC000239,0
MAC000240,0
MAC000241,0
MAC000242,1
MAC000243,0
MAC000244,1
MAC000245,2
MAC000246,2
MAC000247,0
MAC000248,0
MAC000249,2
MAC000250,0
MAC000251,0
MAC000252,2
MAC000253,0
MAC000254,0
MAC000255,0
MAC000256,2
MAC000257,2
MAC000258,0
MAC000259,0
MAC000260,0
MAC000261,0
MAC000262,2
MAC000263,1
MAC000264,0
MAC000265,0
MAC000266,1
MAC000267,0
MAC000268,1
MAC000269,1
MAC000270,2
MAC000271,0
MAC000272,0
MAC000273,1
MAC000274,2
MAC000275,0
MAC000276,0
MAC000277,0
MAC000278,1
MAC000279,1
MAC000280,0
MAC000281,0
MAC000282,1
MAC000283,0
MAC000284,1
MAC000285,1
MAC000286,0
MAC000287,1
MAC000288,0
MAC000289,0
MAC000290,1
MAC000291,2
MAC000292,1
MAC000293,1
MAC000294,0
MAC000295,0
MAC000296,2
MAC000297,2
MAC000298,1
MAC000299,2
MAC000300,0
MAC000301,0
MAC000302,0
MAC000303,0
MAC000304,0
MAC000305,1
MAC000306,0
MAC000307,2
MAC000308,1
MAC000309,2
MAC000310,1
MAC000311,2
MAC000312,2
MAC000313,0
MAC000314,1
MAC000315,1
MAC000316,1
MAC000317,0
MAC000318,0
MAC000319,0
MAC000320,2
MAC000321,2
MAC000322,1
MAC000323,2
MAC000324,1
MAC000325,1
MAC000326,2
MAC000327,2
MAC000328,1
MAC000329,0
MAC000330,1
MAC000331,2
MAC000332,0
MAC000333,1
MAC000334,1
MAC000335,1
MAC000336,0
MAC000337,1
MAC000338,0
MAC000339,0
MAC000340,0
MAC000341,0
MAC000342,0
MAC000343,1
MAC000344,1
MAC000345,0
MAC000346,0
MAC000347,1
MAC000348,1
MAC000349,1
MAC000350,0
MAC000351,1
MAC000352,0
MAC000353,1
MAC000354,2
MAC000355,0
MAC000357,0
MAC000358,2
MAC000359,0
MAC000360,0
MAC000361,0
MAC000362,1
MAC000363,1
MAC000364,1
MAC000365,1
MAC000366,1
MAC000367,1
MAC000368,1
MAC000369,0
MAC000370,0
MAC000371,1
MAC000372,0
MAC000373,0
MAC000374,1
MAC000375,1
MAC000376,0
MAC000377,1
MAC000378,1
MAC000379,2
MAC000380,1
MAC000381,0
MAC000382,0
MAC000383,1
MAC000384,1
MAC000385,1
MAC000386,0
MAC000387,0
MAC000388,0
MAC000389,0
MAC000390,0
MAC000391,0
MAC000392,1
MAC000394,0
MAC000395,0
MAC000396,0
MAC000397,0
MAC000398,0
MAC000399,1
MAC000400,1
MAC000401,0
MAC000402,0
MAC000403,0
MAC000404,1
MAC000405,0
MAC000406,1
MAC000407,1
MAC000408,1
MAC000409,2
MAC000411,1
MAC000412,0
MAC000413,1
MAC000414,0
MAC000415,2
MAC000416,0
MAC000417,1
MAC000418,1
MAC000419,0
MAC000420,2
MAC000421,1
MAC000422,1
MAC000423,1
MAC000424,1
MAC000425,0
MAC000426,0
MAC000427,1
MAC000428,0
MAC000429,0
MAC000430,0
MAC000431,2
MAC000433,0
MAC000434,0
MAC000435,1
MAC000436,1
MAC000437,2
MAC000438,1
MAC000439,0
MAC000440,2
MAC000441,2
MAC000442,1
MAC000443,2
MAC000444,1
MAC000445,0
MAC000446,0
MAC000447,0
MAC000448,1
MAC000449,1
MAC000450,2
MAC000451,2
MAC000452,2
MAC000453,0
MAC000454,0
MAC000455,2
MAC000456,0
MAC000457,1
MAC000458,1
MAC000459,1
MAC000460,2
MAC000461,2
MAC000462,0
MAC000463,2
MAC000464,1
MAC000465,0
MAC000466,0
MAC000467,1
MAC000468,0
MAC000469,0
MAC000470,0
MAC000471,0
MAC000472,1
MAC000473,2
MAC000474,0
MAC000475,2
MAC000476,0
MAC000477,1
MAC000478,0
MAC000479,1
MAC000480,2
MAC000481,0
